Tamanho DuraçãoMédia(ms) MédiadoValorTotaldasSoluções MédiadaEnergiaTotaldasSoluções
82 0,10 6312,60 980,30
83 0,00 6312,60 980,30
84 0,10 6424,80 979,40
85 0,20 6495,70 982,70
86 0,00 6571,20 985,90
87 0,10 6667,00 984,20
88 0,00 6697,00 981,30
89 0,10 6858,70 985,50
90 0,00 7040,00 987,10
91 0,10 7062,60 987,20
92 0,10 7185,70 987,30
93 0,00 7262,50 987,40
94 0,10 7262,50 987,40
95 0,10 7295,80 987,30
96 0,00 7363,00 984,10
97 0,00 7443,40 983,60
98 0,00 7495,80 983,90
99 0,00 7534,30 982,30
100 0,00 7575,10 983,80
101 0,00 7628,00 986,80
102 0,00 7736,50 987,00
103 0,00 7830,60 985,00
104 0,10 7845,60 987,10
105 0,00 7900,10 987,20
106 0,10 7977,90 982,50
107 0,00 8067,70 983,00
108 0,00 8067,70 983,00
109 0,20 8106,30 986,10
110 0,00 8106,30 986,10
111 0,00 8127,70 989,60
112 0,00 8127,70 989,60
113 0,10 8172,20 989,80
114 0,10 8177,30 990,50
115 0,00 8177,30 990,50
116 0,00 8177,30 990,50
117 0,00 8236,60 987,30
118 0,00 8236,60 987,30
119 0,10 8296,00 984,90
120 0,00 8468,70 987,00
121 0,10 8578,80 987,70
122 0,20 8672,30 987,60
123 0,10 8783,20 987,20
124 0,30 8802,90 990,20
125 0,00 8889,90 987,60
126 0,00 8889,90 987,60
127 0,00 9025,80 990,20
128 0,00 9072,20 990,90
129 0,00 9097,20 991,20
130 0,00 9097,20 991,20
131 0,10 9116,10 989,40
132 0,00 9183,40 991,20
133 0,00 9217,80 986,80
134 0,00 9217,80 986,80
135 0,20 9217,80 986,80
136 0,20 9245,90 988,10
137 0,10 9381,30 988,30
138 0,00 9447,90 990,40
139 0,20 9447,90 990,40
140 0,00 9515,80 991,50
141 0,00 9557,00 991,90
142 0,10 9600,10 991,80
143 0,20 9641,30 990,00
144 0,20 9641,30 990,00
145 0,10 9641,30 990,00
146 0,10 9641,30 990,00
147 0,10 9641,30 990,00
148 0,00 9667,90 993,70
149 0,10 9759,60 995,50
150 0,00 9809,40 995,50
151 0,10 9891,30 994,40
152 0,00 9896,40 992,80
153 0,10 9901,50 989,00
154 0,00 10000,90 991,00
155 0,30 10000,90 991,00
156 0,00 10000,90 991,00
157 0,00 10109,70 987,80
158 0,00 10109,70 987,80
159 0,20 10122,10 988,50
160 0,00 10183,20 989,60
161 0,20 10274,70 989,60
162 0,10 10274,70 989,60
163 0,00 10410,00 989,30
164 0,10 10410,00 989,30
165 0,10 10427,90 989,60
166 0,10 10511,90 989,50
167 0,00 10511,90 989,50
168 0,10 10545,60 988,70
169 0,00 10549,10 990,10
170 0,00 10559,90 991,20
171 0,10 10559,90 991,20
172 0,20 10580,30 991,70
173 0,10 10580,30 991,70
174 0,00 10667,50 992,90
175 0,00 10757,60 992,80
176 0,10 10757,60 992,80
177 0,10 10757,60 992,80
178 0,10 10766,30 992,80
179 0,20 10811,80 995,30
180 0,00 10825,00 996,60
181 0,10 10857,30 990,90
182 0,10 10857,30 990,90
183 0,10 10857,30 990,90
184 0,30 10860,90 989,50
185 0,10 10885,60 988,40
186 0,00 10913,20 990,10
187 0,20 11009,60 995,20
188 0,30 11122,60 996,40
189 0,10 11122,60 996,40
190 0,10 11122,60 996,40
191 0,00 11122,60 996,40
192 0,20 11181,50 996,90
193 0,00 11235,50 995,80
194 0,20 11275,50 996,70
195 0,10 11275,50 996,70
196 0,10 11310,80 995,40
197 0,30 11371,10 995,30
198 0,30 11390,10 994,50
199 0,10 11528,90 994,10
200 0,20 11531,30 993,90
201 0,20 11535,90 995,30
202 0,10 11602,20 996,20
203 0,40 11602,20 996,20
204 0,30 11644,30 995,70
205 0,30 11644,30 995,70
206 0,20 11644,30 995,70
207 0,10 11644,30 995,70
208 0,40 11648,70 995,90
209 0,00 11653,80 996,10
210 0,30 11754,60 994,90
211 0,30 11812,90 994,50
212 0,20 11812,90 994,50
213 0,30 11812,90 994,50
214 0,10 11832,20 994,40
215 0,10 11832,20 994,40
216 0,00 11894,60 994,70
217 0,20 11997,40 991,90
218 0,10 12051,80 992,00
219 0,10 12061,40 995,10
220 0,20 12061,40 995,10
221 0,10 12064,10 995,20
222 0,10 12064,10 995,20
223 0,10 12121,80 995,70
224 0,10 12191,90 996,90
225 0,20 12191,90 996,90
226 0,10 12268,80 996,70
227 0,30 12268,80 996,70
228 0,10 12283,80 995,40
229 0,10 12283,80 995,40
230 0,20 12283,80 995,40
231 0,00 12374,70 996,00
232 0,10 12379,50 996,80
233 0,10 12379,50 996,80
234 0,20 12422,10 996,50
235 0,10 12434,30 996,30
236 0,00 12438,40 995,40
237 0,10 12495,60 994,90
238 0,10 12495,60 994,90
239 0,30 12495,60 994,90
240 0,40 12614,60 994,90
241 0,20 12624,80 995,60
242 0,00 12636,40 997,00
243 0,20 12636,40 997,00
244 0,10 12636,40 997,00
245 0,10 12681,70 997,50
246 0,30 12765,60 995,20
247 0,10 12765,60 995,20
248 0,20 12820,10 994,40
249 0,10 12820,10 994,40
250 0,10 12888,40 995,30
251 0,10 12953,70 994,90
252 0,20 12970,90 995,60
253 0,10 12994,50 995,30
254 0,20 12994,50 995,30
255 0,20 12994,50 995,30
256 0,10 13018,00 996,60
257 0,00 13021,00 996,00
258 0,10 13095,90 995,50
259 0,10 13095,90 995,50
260 0,20 13095,90 995,50
261 0,10 13210,10 996,00
262 0,00 13254,20 995,40
263 0,10 13287,40 995,40
264 0,20 13287,40 995,40
265 0,10 13341,00 995,00
266 0,10 13346,10 995,40
267 0,20 13436,40 995,70
268 0,10 13477,30 996,20
269 0,30 13536,20 995,70
270 0,10 13536,20 995,70
271 0,20 13536,20 995,70
272 0,30 13536,20 995,70
273 0,30 13536,20 995,70
274 0,10 13536,20 995,70
275 0,30 13536,20 995,70
276 0,20 13536,20 995,70
277 0,30 13536,20 995,70
278 0,20 13536,20 995,70
279 0,20 13599,70 997,00
280 0,00 13599,70 997,00
281 0,20 13685,20 997,30
282 0,20 13685,20 997,30
283 0,00 13685,20 997,30
284 0,30 13685,20 997,30
285 0,20 13688,50 997,40
286 0,10 13688,90 997,50
287 0,20 13751,80 997,70
288 0,20 13786,00 997,60
289 0,20 13786,00 997,60
290 0,10 13799,60 996,60
291 0,10 13799,60 996,60
292 0,10 13799,60 996,60
293 0,20 13799,60 996,60
294 0,10 13836,70 996,40
295 0,20 13915,50 996,60
296 0,10 13963,70 996,20
297 0,10 13963,70 996,20
298 0,00 13963,70 996,20
299 0,40 13997,60 995,70
300 0,30 13997,60 995,70
301 0,00 13997,60 995,70
302 0,20 14105,70 995,60
303 0,00 14222,10 995,60
304 0,00 14280,20 994,70
305 0,10 14298,00 994,10
306 0,40 14298,80 994,60
307 0,10 14301,00 994,40
308 0,50 14311,40 993,10
309 0,10 14311,40 993,10
310 0,50 14311,40 993,10
311 0,00 14354,00 994,80
